A703 D,𐝂,¹⁄₅,,,
A704 E,𐝃,¹⁄₄,,,
A705 F,𐝄,¹⁄₈,,,
A706 H,𐝅,≈ ¹⁄₆,,,
A707 J,𐝆,¹⁄₂,,,
A708 K,𐝇,¹⁄₁₆,,,
A709 L,𐝈,,,,
A709-2 L2,𐝉,,,,
A709-3 L3,𐝊,,,,
A709-4 L4,𐝋,,,,
A709-6 L6,𐝌,cum 𐙕,,,
A710 W,𐝍,,,,
A711 X,𐝎,,,,
A712 Y,𐝏,≈ ¹⁄₄,,,
A713 Ω,𐝐,cum 𐚥 ≈ ¹⁄₂,,,
A714 ABB,𐝑,,,,
A715 BB,𐝒,,,,
A716 BL6,𐝁𐝌,,,,
A717 DD,𐝓,,,,
A718 DDDD,𐝂𐝂𐝂𐝂,,,,
A719 EB,𐝃𐝁,,,,
A720 EE,𐝃𐝃,,,,
A721 EF,𐝃𐝄,³⁄₈,,,
A722 EJ,𐝃𐝆,,,,
A723 EL2,𐝃𐝉,,,,
A724 EL4,𐝃𐝋,,,,
A725 EL6,𐝃𐝌,,,,
A726 EYYY,𐝔,,,,
A727 FK,𐝄𐝇,,,,
A728 FL,𐝄𐝈,,,,
A729 HK,𐝅𐝇,,,,
A730 JA,𐝆𐝀,,,,
A731 JB,𐝆𐝁,,,,
A732 JE,𐝕,³⁄₄,,,
A733 JEB,𐝆𐝃𐝁,,,,
A734 JEL2,𐝆𐝃𐝉,,,,
A735 JF,𐝆𐝄,⁵⁄₈,,,
A736 JH,𐝆𐝅,²⁄₃,,,
A737 JJ,𐝆𐝆,,,,
A738 JK,𐝆𐝇,,,,
A739 JL2,𐝆𐝉,,,,
A740 KL2,𐝇𐝉,,,,
A741 LL,𐝈𐝈,,,,
A742 LL2,𐝈𐝉,,,,
A743 L2L4,𐝉𐝋,,,,
A800,𐝠,,,,
A801,𐝡,,,,
A802,𐝢,,,,
A803,𐝣,,,,
A804,𐝤,,,,
A805,𐝥,,,,
A806,𐝦,,,,
A807,𐝧,,,,
A808,𐙇𐘍,,,,
A900,𐄁,,,,
A901,𐄀,,,,
A902,𐄀,,,,
A903,𐄂,,,,
A904,𐙫,,,,
A905,𐝆,,,,
A906,𐝇,,,,
A907,𐘗,,,,
A908,𐘳,,,,
A809,𐝬,,,,
A810,𐝭,,,,
A811,𐝮,,,,
A812,𐚢𐘌𐘰,,,,
A813,𐚯𐘲𐘫,,,,
A814,𐚰𐘾𐘁𐘰,,,,
A815,𐚢,,,,
A816,𐚢𐘲𐘰𐘴,,,,
A817,𐚢𐘂𐘳𐘿,,,,
A818,𐙞𐘸𐘫,,,,
A819,𐙝𐘀𐘫,,,,
A820,𐙝𐘶𐘸,,,,
A821,𐙝𐘭𐘶,,,,
A822,𐙟𐘀𐘶,,,,
A823,𐙟𐘘𐘾,,,,
A824,𐙝𐘭,,,,
A825,𐙞𐘭𐘶,,,,
A826,𐚥𐝇,,,,
A827,𐙄𐘤𐘙,,,,
A828,𐘮𐘃,,,,
A829,𐝯,,,,
